Time (s), AccelRight Value, Time (s), AccelLeft Value
0.000000,-0.489955, 0.000000,-0.372739
0.000500,-0.480186, 0.000500,-0.365413
0.001000,-0.475303, 0.001000,-0.367854
0.001500,-0.497281, 0.001500,-0.360528
0.002000,-0.489955, 0.002000,-0.372739
0.002500,-0.475303, 0.002500,-0.358086
0.003000,-0.485070, 0.003000,-0.370296
0.003500,-0.480186, 0.003500,-0.360528
0.004000,-0.475303, 0.004000,-0.367854
0.004500,-0.487513, 0.004500,-0.372739
0.005000,-0.475303, 0.005000,-0.362970
0.005500,-0.494839, 0.005500,-0.370296
0.006000,-0.485070, 0.006000,-0.377623
0.006500,-0.472860, 0.006500,-0.365413
0.007000,-0.494839, 0.007000,-0.372739
0.007500,-0.497281, 0.007500,-0.350760
0.008000,-0.499723, 0.008000,-0.372739
0.008500,-0.480186, 0.008500,-0.370296
0.009000,-0.477744, 0.009000,-0.360528
0.009500,-0.489955, 0.009500,-0.375180
0.010000,-0.489955, 0.010000,-0.370296
0.010500,-0.438673, 0.010500,-0.392275
0.011000,-0.470419, 0.011000,-0.353202
0.011500,-0.504607, 0.011500,-0.358086
0.012000,-0.487513, 0.012000,-0.380064
0.012500,-0.494839, 0.012500,-0.377623
0.013000,-0.480186, 0.013000,-0.370296
0.013500,-0.489955, 0.013500,-0.355644
0.014000,-0.492396, 0.014000,-0.350760
0.014500,-0.492396, 0.014500,-0.370296
0.015000,-0.477744, 0.015000,-0.370296
0.015500,-0.480186, 0.015500,-0.367854
0.016000,-0.507049, 0.016000,-0.377623
0.016500,-0.494839, 0.016500,-0.370296
0.017000,-0.480186, 0.017000,-0.362970
0.017500,-0.489955, 0.017500,-0.358086
0.018000,-0.480186, 0.018000,-0.367854
0.018500,-0.480186, 0.018500,-0.353202
0.019000,-0.489955, 0.019000,-0.372739
0.019500,-0.485070, 0.019500,-0.355644
0.020000,-0.487513, 0.020000,-0.365413
0.020500,-0.494839, 0.020500,-0.375180
0.021000,-0.482629, 0.021000,-0.375180
0.021500,-0.504607, 0.021500,-0.372739
0.022000,-0.494839, 0.022000,-0.367854
0.022500,-0.492396, 0.022500,-0.372739
0.023000,-0.504607, 0.023000,-0.370296
0.023500,-0.485070, 0.023500,-0.367854
0.024000,-0.485070, 0.024000,-0.377623
0.024500,-0.475303, 0.024500,-0.362970
0.025000,-0.492396, 0.025000,-0.353202
0.025500,-0.489955, 0.025500,-0.345876
0.026000,-0.482629, 0.026000,-0.370296
0.026500,-0.485070, 0.026500,-0.370296
0.027000,-0.470419, 0.027000,-0.365413
0.027500,-0.482629, 0.027500,-0.362970
0.028000,-0.482629, 0.028000,-0.370296
0.028500,-0.480186, 0.028500,-0.370296
0.029000,-0.472860, 0.029000,-0.353202
0.029500,-0.489955, 0.029500,-0.372739
0.030000,-0.494839, 0.030000,-0.380064
0.030500,-0.489955, 0.030500,-0.372739
0.031000,-0.482629, 0.031000,-0.370296
0.031500,-0.489955, 0.031500,-0.372739
0.032000,-0.494839, 0.032000,-0.375180
0.032500,-0.485070, 0.032500,-0.377623
