Time (s), AccelRight Value, Time (s), AccelLeft Value
0.000000,-0.487513, 0.000000,-0.365413
0.000500,-0.516816, 0.000500,-0.360528
0.001000,-0.448441, 0.001000,-0.360528
0.001500,-0.409368, 0.001500,-0.375180
0.002000,-0.463093, 0.002000,-0.382506
0.002500,-0.568099, 0.002500,-0.365413
0.003000,-0.502165, 0.003000,-0.348318
0.003500,-0.424020, 0.003500,-0.345876
0.004000,-0.465534, 0.004000,-0.353202
0.004500,-0.526584, 0.004500,-0.360528
0.005000,-0.509491, 0.005000,-0.348318
0.005500,-0.458209, 0.005500,-0.323899
0.006000,-0.450883, 0.006000,-0.309246
0.006500,-0.455767, 0.006500,-0.309246
0.007000,-0.467976, 0.007000,-0.340993
0.007500,-0.458209, 0.007500,-0.340993
0.008000,-0.453325, 0.008000,-0.333666
0.008500,-0.428904, 0.008500,-0.316573
0.009000,-0.458209, 0.009000,-0.350760
0.009500,-0.448441, 0.009500,-0.360528
0.010000,-0.453325, 0.010000,-0.350760
0.010500,-0.443556, 0.010500,-0.382506
0.011000,-0.497281, 0.011000,-0.377623
0.011500,-0.507049, 0.011500,-0.370296
0.012000,-0.529026, 0.012000,-0.370296
0.012500,-0.514374, 0.012500,-0.362970
0.013000,-0.519259, 0.013000,-0.355644
0.013500,-0.499723, 0.013500,-0.338550
0.014000,-0.489955, 0.014000,-0.321456
0.014500,-0.482629, 0.014500,-0.319014
0.015000,-0.489955, 0.015000,-0.336109
0.015500,-0.458209, 0.015500,-0.306804
0.016000,-0.448441, 0.016000,-0.326340
0.016500,-0.450883, 0.016500,-0.338550
0.017000,-0.443556, 0.017000,-0.345876
0.017500,-0.443556, 0.017500,-0.348318
0.018000,-0.433789, 0.018000,-0.345876
0.018500,-0.450883, 0.018500,-0.343435
0.019000,-0.445999, 0.019000,-0.353202
0.019500,-0.460650, 0.019500,-0.380064
0.020000,-0.470419, 0.020000,-0.377623
0.020500,-0.489955, 0.020500,-0.375180
0.021000,-0.504607, 0.021000,-0.387390
0.021500,-0.524143, 0.021500,-0.375180
0.022000,-0.489955, 0.022000,-0.389833
0.022500,-0.536353, 0.022500,-0.340993
0.023000,-0.511933, 0.023000,-0.336109
0.023500,-0.494839, 0.023500,-0.326340
0.024000,-0.475303, 0.024000,-0.323899
0.024500,-0.482629, 0.024500,-0.309246
0.025000,-0.441115, 0.025000,-0.304362
0.025500,-0.433789, 0.025500,-0.297036
0.026000,-0.443556, 0.026000,-0.331224
0.026500,-0.424020, 0.026500,-0.353202
0.027000,-0.445999, 0.027000,-0.343435
0.027500,-0.460650, 0.027500,-0.360528
0.028000,-0.467976, 0.028000,-0.370296
0.028500,-0.455767, 0.028500,-0.377623
0.029000,-0.463093, 0.029000,-0.394716
0.029500,-0.475303, 0.029500,-0.387390
0.030000,-0.480186, 0.030000,-0.380064
0.030500,-0.499723, 0.030500,-0.375180
0.031000,-0.504607, 0.031000,-0.350760
0.031500,-0.524143, 0.031500,-0.345876
0.032000,-0.526584, 0.032000,-0.331224
0.032500,-0.521700, 0.032500,-0.331224
0.033000,-0.497281, 0.033000,-0.299478
0.033500,-0.480186, 0.033500,-0.304362
0.034000,-0.487513, 0.034000,-0.311688
0.034500,-0.485070, 0.034500,-0.309246
0.035000,-0.441115, 0.035000,-0.314130
0.035500,-0.436230, 0.035500,-0.326340
0.036000,-0.450883, 0.036000,-0.350760
0.036500,-0.443556, 0.036500,-0.384949
0.037000,-0.431346, 0.037000,-0.365413
0.037500,-0.448441, 0.037500,-0.370296
0.038000,-0.455767, 0.038000,-0.380064
0.038500,-0.463093, 0.038500,-0.382506
0.039000,-0.465534, 0.039000,-0.380064
0.039500,-0.546121, 0.039500,-0.355644
0.040000,-0.509491, 0.040000,-0.353202
0.040500,-0.526584, 0.040500,-0.350760
0.041000,-0.514374, 0.041000,-0.336109
0.041500,-0.526584, 0.041500,-0.321456
0.042000,-0.514374, 0.042000,-0.323899
0.042500,-0.504607, 0.042500,-0.309246
0.043000,-0.485070, 0.043000,-0.316573
0.043500,-0.455767, 0.043500,-0.311688
0.044000,-0.448441, 0.044000,-0.321456
0.044500,-0.438673, 0.044500,-0.338550
0.045000,-0.463093, 0.045000,-0.345876
0.045500,-0.455767, 0.045500,-0.345876
0.046000,-0.409368, 0.046000,-0.362970
0.046500,-0.438673, 0.046500,-0.392275
0.047000,-0.489955, 0.047000,-0.402043
0.047500,-0.463093, 0.047500,-0.387390
0.048000,-0.441115, 0.048000,-0.397159
0.048500,-0.445999, 0.048500,-0.406926
0.049000,-0.543679, 0.049000,-0.377623
0.049500,-0.541236, 0.049500,-0.353202
0.050000,-0.521700, 0.050000,-0.336109
0.050500,-0.511933, 0.050500,-0.323899
0.051000,-0.516816, 0.051000,-0.345876
0.051500,-0.499723, 0.051500,-0.311688
0.052000,-0.472860, 0.052000,-0.301920
0.052500,-0.450883, 0.052500,-0.292152
0.053000,-0.424020, 0.053000,-0.297036
0.053500,-0.433789, 0.053500,-0.331224
0.054000,-0.465534, 0.054000,-0.375180
0.054500,-0.460650, 0.054500,-0.382506
0.055000,-0.438673, 0.055000,-0.387390
0.055500,-0.445999, 0.055500,-0.377623
0.056000,-0.465534, 0.056000,-0.389833
0.056500,-0.463093, 0.056500,-0.384949
0.057000,-0.472860, 0.057000,-0.411810
0.057500,-0.487513, 0.057500,-0.372739
0.058000,-0.516816, 0.058000,-0.355644
0.058500,-0.526584, 0.058500,-0.350760
0.059000,-0.521700, 0.059000,-0.314130
0.059500,-0.529026, 0.059500,-0.311688
0.060000,-0.514374, 0.060000,-0.309246
0.060500,-0.463093, 0.060500,-0.284826
0.061000,-0.475303, 0.061000,-0.292152
0.061500,-0.443556, 0.061500,-0.321456
0.062000,-0.438673, 0.062000,-0.299478
0.062500,-0.441115, 0.062500,-0.338550
0.063000,-0.455767, 0.063000,-0.367854
0.063500,-0.441115, 0.063500,-0.377623
0.064000,-0.453325, 0.064000,-0.397159
0.064500,-0.421579, 0.064500,-0.392275
0.065000,-0.463093, 0.065000,-0.409368
0.065500,-0.453325, 0.065500,-0.445999
0.066000,-0.511933, 0.066000,-0.372739
0.066500,-0.514374, 0.066500,-0.375180
0.067000,-0.536353, 0.067000,-0.355644
0.067500,-0.531469, 0.067500,-0.319014
0.068000,-0.521700, 0.068000,-0.314130
0.068500,-0.514374, 0.068500,-0.289710
0.069000,-0.475303, 0.069000,-0.294594
0.069500,-0.467976, 0.069500,-0.292152
0.070000,-0.453325, 0.070000,-0.306804
0.070500,-0.448441, 0.070500,-0.306804
0.071000,-0.436230, 0.071000,-0.336109
0.071500,-0.445999, 0.071500,-0.365413
0.072000,-0.448441, 0.072000,-0.380064
0.072500,-0.431346, 0.072500,-0.414253
0.073000,-0.431346, 0.073000,-0.419136
0.073500,-0.460650, 0.073500,-0.421579
0.074000,-0.489955, 0.074000,-0.416694
0.074500,-0.507049, 0.074500,-0.389833
0.075000,-0.509491, 0.075000,-0.360528
0.075500,-0.526584, 0.075500,-0.348318
0.076000,-0.533910, 0.076000,-0.326340
0.076500,-0.519259, 0.076500,-0.304362
0.077000,-0.494839, 0.077000,-0.282384
0.077500,-0.477744, 0.077500,-0.297036
0.078000,-0.467976, 0.078000,-0.277500
0.078500,-0.450883, 0.078500,-0.294594
0.079000,-0.433789, 0.079000,-0.294594
0.079500,-0.438673, 0.079500,-0.326340
0.080000,-0.450883, 0.080000,-0.350760
0.080500,-0.426463, 0.080500,-0.377623
0.081000,-0.414253, 0.081000,-0.411810
0.081500,-0.438673, 0.081500,-0.409368
0.082000,-0.492396, 0.082000,-0.426463
0.082500,-0.504607, 0.082500,-0.402043
0.083000,-0.497281, 0.083000,-0.384949
0.083500,-0.519259, 0.083500,-0.380064
0.084000,-0.543679, 0.084000,-0.353202
0.084500,-0.551005, 0.084500,-0.321456
0.085000,-0.504607, 0.085000,-0.299478
0.085500,-0.472860, 0.085500,-0.287269
0.086000,-0.470419, 0.086000,-0.284826
0.086500,-0.472860, 0.086500,-0.311688
0.087000,-0.441115, 0.087000,-0.299478
0.087500,-0.421579, 0.087500,-0.323899
0.088000,-0.450883, 0.088000,-0.328783
0.088500,-0.438673, 0.088500,-0.362970
0.089000,-0.421579, 0.089000,-0.397159
0.089500,-0.460650, 0.089500,-0.411810
0.090000,-0.467976, 0.090000,-0.409368
0.090500,-0.507049, 0.090500,-0.404484
0.091000,-0.499723, 0.091000,-0.411810
0.091500,-0.516816, 0.091500,-0.399601
0.092000,-0.543679, 0.092000,-0.367854
0.092500,-0.538795, 0.092500,-0.345876
0.093000,-0.509491, 0.093000,-0.304362
0.093500,-0.477744, 0.093500,-0.289710
0.094000,-0.475303, 0.094000,-0.279943
0.094500,-0.475303, 0.094500,-0.287269
0.095000,-0.445999, 0.095000,-0.289710
0.095500,-0.445999, 0.095500,-0.309246
0.096000,-0.450883, 0.096000,-0.316573
0.096500,-0.441115, 0.096500,-0.345876
0.097000,-0.419136, 0.097000,-0.370296
0.097500,-0.443556, 0.097500,-0.399601
0.098000,-0.465534, 0.098000,-0.406926
0.098500,-0.480186, 0.098500,-0.399601
0.099000,-0.482629, 0.099000,-0.387390
0.099500,-0.514374, 0.099500,-0.392275
0.100000,-0.541236, 0.100000,-0.380064
0.100500,-0.507049, 0.100500,-0.355644
0.101000,-0.494839, 0.101000,-0.328783
0.101500,-0.470419, 0.101500,-0.304362
0.102000,-0.477744, 0.102000,-0.301920
0.102500,-0.458209, 0.102500,-0.301920
0.103000,-0.441115, 0.103000,-0.304362
0.103500,-0.428904, 0.103500,-0.316573
0.104000,-0.441115, 0.104000,-0.319014
0.104500,-0.436230, 0.104500,-0.333666
0.105000,-0.460650, 0.105000,-0.358086
0.105500,-0.467976, 0.105500,-0.380064
0.106000,-0.504607, 0.106000,-0.387390
0.106500,-0.472860, 0.106500,-0.382506
0.107000,-0.502165, 0.107000,-0.389833
0.107500,-0.536353, 0.107500,-0.382506
0.108000,-0.529026, 0.108000,-0.392275
0.108500,-0.511933, 0.108500,-0.370296
0.109000,-0.485070, 0.109000,-0.358086
0.109500,-0.477744, 0.109500,-0.340993
0.110000,-0.465534, 0.110000,-0.333666
0.110500,-0.475303, 0.110500,-0.284826
0.111000,-0.433789, 0.111000,-0.323899
0.111500,-0.443556, 0.111500,-0.304362
0.112000,-0.431346, 0.112000,-0.314130
0.112500,-0.441115, 0.112500,-0.328783
0.113000,-0.467976, 0.113000,-0.348318
0.113500,-0.492396, 0.113500,-0.326340
0.114000,-0.485070, 0.114000,-0.365413
0.114500,-0.494839, 0.114500,-0.384949
